Date,interview length,Questions rating,Responses rating,practice,game
"June 20, 2012",10,0.4,0.8,1,0
"June 19, 2012",13,0.3846153846153846,0.7692307692307693,0,1
"June 18, 2012",14,0.1428571428571428,0.7857142857142857,0,1
"June 17, 2012",14,0.2142857142857142,0.7142857142857143,1,0
"June 16, 2012",13,0.3846153846153846,0.8461538461538461,0,1
"June 14, 2012",13,0.5384615384615384,0.7692307692307693,1,0
"June 13, 2012",17,0.0,0.7058823529411765,0,1
"June 12, 2012",13,0.3846153846153846,0.4615384615384615,1,0
"June 11, 2012",10,0.1,0.3,0,1
"June 12, 2011",17,-0.1176470588235294,0.4705882352941176,1,0
"June 11, 2011",11,-0.0909090909090909,0.1818181818181818,0,1
"June 9, 2011",15,0.2,0.8,1,0
"June 8, 2011",16,0.0,0.5,0,1
"June 7, 2011",13,0.3076923076923077,0.3076923076923077,1,0
"June 6, 2011",10,0.1,0.8,0,1
"June 5, 2011",15,0.0666666666666666,0.6666666666666666,1,0
"June 4, 2011",10,0.2,0.5,0,1
"June 2, 2011",14,0.0714285714285714,0.5,1,0
"June 1, 2011",14,0.4285714285714285,0.7142857142857143,0,1
"May 31, 2011",18,0.3888888888888889,0.7777777777777778,1,0
"May 30, 2011",13,0.3076923076923077,0.5384615384615384,0,1
"June 14, 2007",11,0.3636363636363636,0.4545454545454545,1,0
"June 13, 2007",15,0.3333333333333333,0.8,0,1
"June 12, 2007",11,0.0,0.5454545454545454,1,0
"June 10, 2007",12,0.1666666666666666,0.5833333333333334,0,1
"June 9, 2007",18,0.0555555555555555,0.2777777777777778,1,0
"June 8, 2007",13,0.4615384615384615,0.3846153846153846,0,1
"June 7, 2007",13,-0.0769230769230769,0.6153846153846154,0,1
"June 6, 2007",17,0.1764705882352941,0.7058823529411765,1,0
