Date,interview length,Questions rating,Responses rating,practice,game,win_prac_loss,win,loss,home,away,series result,cumulative wins,cumulative losses
2016-06-09,14,0.5,0.714285714,1,0,0,0,0,1,0,0,1,2
2016-06-08,16,0.625,0.8125,0,1,1,1,0,1,0,0,1,2
2016-06-07,15,0.533333333,0.6,1,0,0,0,0,1,0,0,0,2
2016-06-05,9,0.0,0.222222222,0,1,-1,0,1,0,1,0,0,2
2016-06-04,10,0.5,0.5,1,0,0,0,0,0,1,0,0,1
2016-06-03,17,0.0,0.588235294,1,0,0,0,0,0,1,0,0,1
2016-06-02,9,0.0,0.111111111,0,1,-1,0,1,0,1,0,0,1
2016-06-01,15,0.0,0.533333333,1,0,0,0,0,0,1,0,0,0
2015-06-16,12,-0.083333333,0.166666667,0,1,-1,0,1,1,0,-1,2,4
2015-06-14,16,0.1875,0.5625,0,1,-1,0,1,0,1,0,2,3
2015-06-13,10,0.1,0.6,1,0,0,0,0,0,1,0,2,2
2015-06-11,17,0.058823529,0.352941176,0,1,-1,0,1,1,0,0,2,2
2015-06-10,9,0.333333333,0.777777778,1,0,0,0,0,1,0,0,2,1
2015-06-09,12,0.5,0.75,0,1,1,1,0,1,0,0,2,1
2015-06-07,14,0.5,0.928571429,0,1,1,1,0,0,1,0,1,1
2015-06-06,10,0.2,0.7,1,0,0,0,0,0,1,0,0,1
2015-06-05,12,0.083333333,0.583333333,1,0,0,0,0,0,1,0,0,1
2015-06-04,10,0.2,0.5,0,1,-1,0,1,0,1,0,0,1
2015-06-03,13,0.307692308,0.615384615,1,0,0,0,0,0,1,0,0,0
2014-06-15,14,0.214285714,0.428571429,0,1,-1,0,1,0,1,-1,1,4
2014-06-14,18,0.5,0.388888889,1,0,0,0,0,0,1,0,1,3
2014-06-12,18,0.111111111,0.277777778,0,1,-1,0,1,1,0,0,1,3
2014-06-11,21,0.19047619,0.476190476,1,0,0,0,0,1,0,0,1,2
2014-06-10,12,-0.25,0.416666667,0,1,-1,0,1,1,0,0,1,2
2014-06-08,19,0.421052632,0.789473684,0,1,1,1,0,0,1,0,1,1
2014-06-07,15,0.2,0.8,1,0,0,0,0,0,1,0,0,1
2014-06-06,16,0.0,0.25,1,0,0,0,0,0,1,0,0,1
2014-06-05,7,0.0,0.0,0,1,-1,0,1,0,1,0,0,1
2014-06-04,12,0.416666667,0.666666667,1,0,0,0,0,0,1,0,0,0
2013-06-20,11,0.545454545,0.818181818,0,1,1,1,0,1,0,1,4,2
2013-06-19,16,0.1875,0.625,1,0,0,0,0,1,0,0,3,2
2013-06-18,12,0.333333333,0.916666667,0,1,1,1,0,1,0,0,3,2
2013-06-16,13,0.307692308,0.384615385,0,1,-1,0,1,0,1,0,2,2
2013-06-15,21,0.380952381,0.523809524,1,0,0,0,0,0,1,0,2,1
2013-06-13,10,0.2,0.9,0,1,1,1,0,0,1,0,2,1
2013-06-12,23,0.173913043,0.52173913,1,0,0,0,0,0,1,0,1,1
2013-06-09,13,0.538461538,0.692307692,0,1,1,1,0,1,0,0,1,1
2013-06-08,17,0.117647059,0.705882353,1,0,0,0,0,1,0,0,0,1
2013-06-07,13,0.307692308,0.461538462,1,0,0,0,0,1,0,0,0,1
2013-06-06,11,0.090909091,0.454545455,0,1,-1,0,1,1,0,0,0,1
2012-06-21,10,0.7,1.0,0,1,1,1,0,1,0,1,4,1
2012-06-20,10,0.4,0.8,1,0,0,0,0,1,0,0,3,1
2012-06-19,13,0.384615385,0.769230769,0,1,1,1,0,1,0,0,3,1
2012-06-18,14,0.142857143,0.785714286,1,0,0,0,0,1,0,0,2,1
2012-06-17,14,0.214285714,0.714285714,0,1,1,1,0,1,0,0,2,1
2012-06-16,13,0.384615385,0.846153846,1,0,0,0,0,1,0,0,1,1
2012-06-14,13,0.538461538,0.769230769,0,1,1,1,0,0,1,0,1,1
2012-06-13,17,0.0,0.705882353,1,0,0,0,0,0,1,0,0,1
2012-06-12,13,0.384615385,0.461538462,0,1,-1,0,1,0,1,0,0,1
2012-06-11,10,0.1,0.3,1,0,0,0,0,0,1,0,0,0
2011-06-12,17,-0.117647059,0.470588235,0,1,-1,0,1,1,0,-1,2,4
2011-06-11,11,-0.090909091,0.181818182,1,0,0,0,0,1,0,0,2,3
2011-06-09,15,0.2,0.8,0,1,-1,0,1,0,1,0,2,3
2011-06-08,16,0.0,0.5,1,0,0,0,0,0,1,0,2,2
2011-06-07,13,0.307692308,0.307692308,0,1,-1,0,1,0,1,0,2,2
2011-06-06,10,0.1,0.8,1,0,0,0,0,0,1,0,2,1
2011-06-05,15,0.066666667,0.666666667,0,1,1,1,0,0,1,0,2,1
2011-06-04,10,0.2,0.5,1,0,0,0,0,0,1,0,1,1
2011-06-02,14,0.071428571,0.5,0,1,-1,0,1,1,0,0,1,1
2011-06-01,14,0.428571429,0.714285714,1,0,0,0,0,1,0,0,1,0
2011-05-31,18,0.388888889,0.777777778,0,1,1,1,0,1,0,0,1,0
2011-05-30,13,0.307692308,0.538461538,1,0,0,0,0,1,0,0,0,0
2007-06-14,11,0.363636364,0.454545455,0,1,-1,0,1,1,0,-1,0,4
2007-06-13,15,0.333333333,0.8,1,0,0,0,0,1,0,0,0,3
2007-06-12,11,0.0,0.545454545,0,1,-1,0,1,1,0,0,0,3
2007-06-10,12,0.166666667,0.583333333,0,1,-1,0,1,0,1,0,0,2
2007-06-09,18,0.055555556,0.277777778,1,0,0,0,0,0,1,0,0,1
2007-06-08,13,0.461538462,0.384615385,1,0,0,0,0,0,1,0,0,1
2007-06-07,13,-0.076923077,0.615384615,0,1,-1,0,1,0,1,0,0,1
2007-06-06,17,0.176470588,0.705882353,1,0,0,0,0,0,1,0,0,0
